metric,report_value,xlsx_value,acceptance_value,recomputed_value,PASS_FAIL
overall_post_N,1833.0,1833.0,1833.0,1833.0,PASS
overall_control_N,8672.0,8672.0,8672.0,8672.0,PASS
overall_post_nonwin_rate,0.5139,0.5139,0.5139,0.5139,PASS
overall_control_nonwin_rate,0.5485,0.5485,0.5485,0.5485,PASS
H1_RAW_diff_pp,-3.5,-3.5,-3.5,-3.5,PASS
H1_ADJUSTED_coef,0.041,0.041,0.041,0.041,PASS
H1_ADJUSTED_se,0.0113,0.0113,0.0113,0.0113,PASS
H1_ADJUSTED_z,3.639,3.639,3.639,3.639,PASS
H1_ADJUSTED_p,0.0003,0.0003,0.0003,0.0003,PASS
H1_logit_or,1.1683,1.1683,1.1683,1.1683,PASS
H1_logit_p,0.0056,0.0056,0.0056,0.0056,PASS
PPG_residual_diff,-0.0715,-0.0715,-0.0715,-0.0715,PASS
PPG_residual_cluster_p,0.0014,0.0014,0.0014,0.0014,PASS
PPG_residual_ci_low,-0.1815,-0.1815,-0.1815,-0.1815,PASS
PPG_residual_ci_high,-0.0412,-0.0412,-0.0412,-0.0412,PASS
SHALLOW_POOLED_post_N,674.0,674.0,674.0,674.0,PASS
SHALLOW_POOLED_control_N,2996.0,2996.0,2996.0,2996.0,PASS
SHALLOW_POOLED_effect_pp,5.9,5.9,5.9,5.9,PASS
SHALLOW_MATCHED_post_N,488.0,488.0,488.0,488.0,PASS
SHALLOW_MATCHED_control_N,978.0,978.0,978.0,978.0,PASS
SHALLOW_MATCHED_unmatched_N,186.0,186.0,186.0,186.0,PASS
SHALLOW_MATCHED_effect_pp,3.8,3.8,3.8,3.8,PASS
SHALLOW_MATCHED_cluster_p,0.253,0.253,0.253,0.253,PASS
SHALLOW_MATCHED_ci_low,-0.027,-0.027,-0.027,-0.027,PASS
SHALLOW_MATCHED_ci_high,0.097,0.097,0.097,0.097,PASS
FIRST_LEG_ROWS,332.0,332.0,332.0,332.0,PASS
SECOND_LEG_ROWS,326.0,326.0,326.0,326.0,PASS
TOTAL_TWO_LEG_ROWS,658.0,658.0,658.0,658.0,PASS
NON_TWO_LEG_ROWS,1175.0,1175.0,1175.0,1175.0,PASS
ANOMALY_DAYS_TOTAL,57.0,57.0,57.0,57.0,PASS
ANOMALY_DAYS_WITH_POST_EURO,20.0,20.0,20.0,20.0,PASS
ANOMALY_POST_EURO_N,159.0,159.0,159.0,159.0,PASS
ANOMALY_ah_fail_diff_pp,1.3,1.3,1.3,1.3,PASS
ANOMALY_cluster_p,0.814,0.814,0.814,0.814,PASS
ANOMALY_fav_nonwin_rate,0.4531,0.4531,0.4531,0.4531,PASS
NORMAL_fav_nonwin_rate,0.4199,0.4199,0.4199,0.4199,PASS
ANOMALY_dog_win_rate,0.2963,0.2963,0.2963,0.2963,PASS
NORMAL_dog_win_rate,0.227,0.227,0.227,0.227,PASS
season_post_N_sum,1833.0,1833.0,1833.0,1833.0,PASS
season_ctrl_N_sum,8672.0,8672.0,8672.0,8672.0,PASS
season_weighted_post_rate,0.5139,0.5139,0.5139,0.5139,PASS
season_weighted_ctrl_rate,0.5485,0.5485,0.5485,0.5485,PASS
